"","GeneSymbol","log2FoldChange","pvalue","padj"
"307","A2M",-0.311557077023026,0.113802932989336,0.516735535395194
"308","NHSL3",-0.0726574328605448,0.656480774306858,0.906006244037322
"309","SAT1",-0.341852355876042,0.126884095477671,0.536444515196912
"310","FCGBP",0.120946914815127,0.741934840152497,0.936794365165767
"311","ITGB4",0.0860380640314056,0.72703641388442,0.931919171986123
"312","CCNI",0.0272933108093659,0.826166407472978,0.955601627578317
"313","MX1",-0.321246697733522,0.29639641066867,0.710425830825211
"314","ZYX",-0.150859233098023,0.29817749791791,0.711318012672713
"315","LRP1",0.427047037545725,0.0327703631639414,0.332172084224908
"316","MCL1",0.0369467257386694,0.805645710832668,0.949293151650151
"317","ADAMTSL4-AS1",0.0369467257386694,0.805645710832668,0.949293151650151
"318","EIF4G1",0.0873157875618862,0.471118664575951,0.822683487892821
"319","RPL30",-0.119903927668189,0.560416893719161,0.866709994177782
"320","STAT1",-0.0818309536947256,0.675658759684433,0.913004854978542
"321","TRIM28",0.0356037273161955,0.811456759553697,0.952015782305845
"322","KLK5",0.206441116865553,0.613716483597885,0.889466949385001
"323","ISG15",-0.535187623114883,0.0876568687019124,0.474119257576832
"324","CYBA",-0.335663043440319,0.102560604266993,0.498480711786501
"325","GRINA",-0.0319514475706542,0.836937520491454,0.957983591042852
"326","ZFP36L2",0.210762707406359,0.239625733564363,0.664341921077494
"327","MGP",0.177462094015603,0.48642011272285,0.830375307015038
"328","MTND2P28",0.0227579217330125,0.930286858718338,0.983486709332823
"329","XBP1",0.181113022954851,0.277471875209903,0.69345077601683
"330","RARRES1",-0.136744560631036,0.741986736338517,0.936794365165767
"331","CHCHD2",-0.314204937687689,0.0370991460655498,0.346328061847362
"332","TGFBI",-0.0462916495965296,0.862041361132846,0.966502873354291
"333","SAMD4B",0.559255362901518,0.000550964397927713,0.0728771718510561
"334","RPN1",0.0470871405576584,0.625595387240168,0.893910124800097
"335","CDH6",-0.242344540147164,0.462321747367462,0.818568102512703
"336","NONO",-0.212292755861776,0.0423356531222349,0.366409064891829
"337","SPINT1",-0.0334603408323163,0.833982706314662,0.957410480940211
"338","EEF1B2",-0.361320266950471,0.0644945690947074,0.423501910355998
"339","P4HB",-0.061488173021679,0.617258294767552,0.890427374960583
"340","SORL1",-0.228074360717207,0.353211282415853,0.752976239409638
"341","MFGE8",0.455362408841843,0.047106016270054,0.378556387246247
"342","SULF1",-0.266764254425119,0.439786669439357,0.804375553828867
"343","FAU",-0.414044791665741,0.0378227424527962,0.349322239238833
"344","GPI",-0.192518324099507,0.204609956966655,0.631193584425664
"345","TUBA1A",-0.131476975718896,0.568605106673235,0.869653855511
"346","NAP1L1",-0.192238418513753,0.177760835669898,0.600375529421747
"347","AP2M1",-0.0845737037120164,0.463669418340353,0.819359475910826
"348","ATP5F1A",0.0867451482413405,0.5576455916092,0.865704153666959
"349","IFITM1",-0.115395486998218,0.655728191657986,0.905992733791622
"350","DNAJB1",0.16875088248675,0.320718186545137,0.729024672777526
"351","SLC25A3",-0.377051092204512,0.00246166525306168,0.137417775306048
"352","LSR",0.0754616334461483,0.656378600980723,0.906006244037322
"353","HSPG2",0.400544582011571,0.065791152255009,0.42659103288636
"354","EPHX1",-0.17179004914721,0.378425585457405,0.77249140176031
"355","COL4A2",0.163055976743002,0.343175709575532,0.746372352825392
"356","CCN2",0.679135286294956,0.014095122603935,0.250188426219847
"357","FGFR1",-0.143451240485075,0.548375988717434,0.861896644184097
"358","NCOR2",0.0723241913190189,0.625759098231898,0.893910124800097
"359","S100A10",-0.140451679167577,0.551909271408582,0.862761706784298
"360","PAX8",-0.130872664303488,0.440546574639269,0.805182248639535
"361","PDIA4",-0.275674433562348,0.0652991706219625,0.425063476343307
"362","PDIA3",-0.142040530351993,0.27146324528883,0.688527437490665
"363","ERFE",0.44688572590086,0.167741242217997,0.589442478629462
"364","JUN",0.156238366803082,0.376053904533525,0.771503702486994
"365","COX5B",-0.451856185618444,0.0086181304692363,0.208715394138652
"366","RHOA",-0.124845726133956,0.189134117441856,0.614054351028509
"367","TUBB4B",-0.288428218539963,0.0479826287923453,0.380147869703007
"368","IGKV1-5",1.00377815302378,0.0681581632771575,0.433341152661106
"369","CDK16",0.105658747036044,0.492632749420348,0.83371441838587
"370","ANXA11",-0.145768956162757,0.347447251631685,0.749138389829699
"371","WNK1",-0.109256056489327,0.483147014098205,0.828710566232163
"372","GLUL",0.0922499832331681,0.370210505402097,0.767723866624283
"373","EIF3E",0.0776564530653512,0.636522538678291,0.899204896511886
"374","ADGRG1",0.0140963262653314,0.937141094468951,0.98555108620323
"375","MMP14",0.404472659570367,0.0835883502561572,0.466940556639693
"376","COL12A1",0.105387870060843,0.729668497537633,0.933102633066244
